Country,deaths
Afghanistan,No data
Algeria,No data
Angola,No data
Argentina,No data
Armenia,No data
Azerbaijan,No data
Bangladesh,No data
Belize,No data
Benin,No data
Bhutan,No data
Bolivia,No data
Botswana,No data
Brazil,No data
Brunei, No data
BurkinaFaso,No data
Burundi,No data
Ivory Coast,No data
CaboVerde, No data
Cambodia, No data
Cameroon,No data
Central African Republic,No data
Chad,No data
China,No data
Colombia,No data
Comoros,No data
Congo,No data
Costa Rica,No data
North Korea,No data
Democratic Republic of the Congo,No data
Djibouti,No data
Dominican Republic,No data
Ecuador,No data
ElSalvador,No data
Equatorial Guinea,No data
Eritrea,No data
Ethiopia,No data
Gabon,No data
Gambia,No data
Georgia,No data
Ghana,No data
Guatemala,No data
Guinea,No data
Guinea-Bissau,No data
Guyana,No data
Haiti,No data
Honduras,No data
India,No data
Indonesia,No data
Iran,No data
Iraq,No data
Kenya,No data
Kyrgyzstan,No data
Laos,No data
Liberia,No data
Madagascar,No data
Malawi,No data
Malaysia,No data
Mali,No data
Mauritania,No data
Mexico,No data
Mozambique,No data
Myanmar,No data
Namibia,No data
Nepal,No data
Nicaragua,No data
Niger,No data
Nigeria,No data
Oman,No data
Pakistan,No data
Panama,No data
Papua New Guinea,No data
Paraguay,No data
Peru,No data
Philippines,No data
South Korea,No data
Russia,No data
Rwanda,No data
SaoTomeandPrincipe,No data
Saudi Arabia,No data
Senegal,No data
Sierra Leone,No data
Solomon Islands,No data
Somalia,No data
South Africa,No data
South Sudan,No data
SriLanka,No data
Sudan,No data
Suriname,No data
Swaziland,No data
Syria,No data
Tajikistan,No data
Thailand,No data
Timor-Leste,No data
Togo,No data
Turkey,No data
Turkmenistan,No data
Uganda,No data
Tanzania,No data
Uzbekistan,No data
Vanuatu,No data
Venezuela,No data
Vietnam,No data
Yemen,No data
Zambia,No data
Zimbabwe,No data
