Country,values
Afghanistan,260
Algeria,10
Angola,14000
Argentina,0
Armenia,0
Azerbaijan,0
Bangladesh,1500
Belize,0
Benin,6800
Bhutan,10
Bolivia,50
Botswana,10
Brazil,100
BurkinaFaso,29000
Burundi,3500
Ivory Coast,22000,
CaboVerde,10
Cambodia,320
Cameroon,11000
Central African Republic,5000
Chad,7700
China,50
Colombia,190
Comoros,360
Congo,1700
Costa Rica,0
North Korea,0
Democratic Republic of the Congo,82000
Djibouti,10
Dominican Republic,10
Ecuador,0
ElSalvador,0
Equatorial Guinea,350
Eritrea,180
Ethiopia, 8000
Gabon, 320
Gambia,570
Georgia,0
Ghana,16000
Guatemala,10
Guinea,11000
Guinea-Bissau,670
Guyana,100
Haiti,580
Honduras,50
India,33000
Indonesia,6600
Iran,10
Iraq,0
Kenya,9000
Kyrgyzstan,0
Laos,170
Liberia,2400
Madagascar,1700
Malawi,10000
Malaysia,50
Mali,16000
Mauritania,1100
Mexico,10
Mozambique,18000
Myanmar,3000
Namibia,10
Nepal,50
Nicaragua,10
Niger,15000
Nigeria,130000
Oman,No data
Pakistan,1700
Panama,10
Papua New Guinea,2700
Paraguay,0
Peru,0
Philippines,110
South Korea,10
Russia,No data
Rwanda,3000
SaoTomeandPrincipe,100
Saudi Arabia,0
Senegal,4100
Sierra Leone,11000
Solomon Islands,50
Somalia,730
South Africa,100
South Sudan,3200
SriLanka,0,
Sudan,3000
Suriname,10
Swaziland,10
Syria,No data
Tajikistan,0
Thailand,100
Timor-Leste,220
Togo,6300
Turkey,0
Turkmenistan,0
Uganda,19000
Tanzania,16000
Uzbekistan,0
Vanuatu,50
Venezuela,100
Vietnam,100
Yemen,1300
Zambia,6300
Zimbabwe,2500
Chile, No data
Japan, No data
Australia, No data
New Zealand, No data
United States, No data
Canada, No data
Greenland, No data
Norway, No data
Iceland, No data
France, No data
Mongolia, No data
